obj,SpecBin,SBtype,Mass,EMass,eMass,Age,EAge,eAge
HIP57027,YES,SB2,1.76,0.4,0.14,7.0,2.0,3.0
HIP57143,YES,SB2,4.58,0.33,0.35,130.0,30.0,20.0
HIP57451,NO,-,3.52,0.16,0.08,1.6,0.1,0.2
HIP58720,NO,-,2.86,0.11,0.1,3.2,0.2,0.6
HIP59896,NO,-,1.32,0.22,0.1,16.0,9.0,7.0
HIP59898,YES,SB1,2.65,0.22,0.2,3.3,0.7,0.5
HIP60183,NO,-,2.66,0.08,0.23,3.8,1.3,0.7
HIP60561,NO,-,2.27,0.12,0.09,6.2,0.7,1.3
HIP61498,NO,-,2.35,0.19,0.13,5.0,1.0,2.0
HIP61738,YES,SB2,3.93,0.23,0.15,190.0,20.0,30.0
HIP61782,NO,-,1.81,0.26,0.15,11.0,4.0,5.0
HIP63839,NO,-,2.28,0.22,0.11,6.1,0.8,2.2
HIP63975,NO,-,1.54,0.07,0.18,13.0,43.0,3.0
HIP66068,NO,-,2.26,0.12,0.18,6.0,2.0,1.0
HIP69011,NO,-,2.42,0.22,0.19,5.0,1.0,2.0
HIP69761,YES,SB2,1.51,0.31,0.14,10.0,5.0,4.0
HIP70040,NO,-,2.86,0.08,0.15,2.8,0.4,0.1
HIP72070,YES,SB2,1.32,0.11,0.05,17.0,3.0,4.0
HIP73150,YES,SB1,2.45,0.07,0.14,4.7,1.1,0.3
HIP73397,NO,-,1.57,0.12,0.16,12.0,13.0,1.0
HIP73865,NO,-,3.53,0.01,0.19,1.71,0.33,0.04
